"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.492129900E-2,-2.642020583E-3,-2.019453049E-2,1.059312820E-1
4.496152600E-2,-2.718091011E-3,-1.581144333E-2,8.467006683E-2
5.500175300E-2,-9.451806545E-4,-1.001358032E-2,5.207252502E-2
6.507249700E-2,-1.022785902E-3,-8.397817612E-3,4.567050934E-2
7.511272400E-2,-1.403838396E-3,-9.153246880E-3,4.952335358E-2
8.515295100E-2,-1.854360104E-3,-1.378881931E-2,7.340240479E-2
9.519317700E-2,-2.596005797E-3,-2.094864845E-2,1.116409302E-1
1.052334050E-1,-6.586208940E-3,-2.065277100E-2,8.922004700E-2
1.152736320E-1,-1.718118787E-3,-1.204574108E-2,6.372261047E-2
1.253138580E-1,-2.279028296E-3,-1.560664177E-2,8.206176758E-2
1.353540850E-1,-3.629177809E-4,-9.940147400E-3,5.161094666E-2
1.454248290E-1,-1.477509737E-3,-9.583353996E-3,4.983615875E-2
1.554650560E-1,-1.481622458E-4,-6.518006325E-3,3.175926208E-2
1.655052830E-1,-1.413553953E-3,-9.206652641E-3,4.878234863E-2
1.755455100E-1,-7.021129131E-4,-4.695653915E-3,2.497768402E-2
1.855857370E-1,-3.964543343E-3,-2.592778206E-2,1.391820908E-1
1.956259640E-1,-2.696260810E-3,-2.279365063E-2,1.200056076E-1
2.056661900E-1,-2.907946706E-3,-3.469908237E-2,1.876468658E-1
2.157064170E-1,-1.617789268E-3,-1.260972023E-2,6.991195679E-2
2.257771620E-1,-8.085966110E-4,-4.431366920E-3,2.948760986E-2
2.358173880E-1,-7.102787495E-4,-2.991676331E-3,1.727104187E-2
2.458576160E-1,-9.376704693E-4,-8.604168892E-3,4.940414429E-2
2.558978430E-1,-8.209496737E-4,-1.276838779E-2,6.825160980E-2
2.659380690E-1,3.162175417E-4,3.243565559E-3,-1.893806458E-2
2.759782960E-1,-2.834826708E-3,-1.703310013E-2,9.879970551E-2
2.860185230E-1,-2.120614052E-3,-2.465152740E-2,1.432228088E-1
2.960892670E-1,-4.748955369E-3,-4.625368118E-2,2.761917114E-1
3.061294940E-1,-1.875296235E-3,-1.373255253E-2,7.985305786E-2
3.161697210E-1,-2.269029617E-2,-1.593780518E-2,-7.513999939E-3
3.262099480E-1,-6.648519635E-2,-1.792442799E-2,-5.416965485E-2
3.362501750E-1,-5.137839913E-2,-4.431390762E-2,-2.629280090E-2
3.462904010E-1,-9.011881053E-2,-6.434690952E-2,2.331733704E-3
3.563306280E-1,-1.552488953E-1,-1.732027531E-1,4.424095154E-3
3.663708560E-1,2.937422693E-2,-6.820142269E-2,1.025342941E-1
3.764415990E-1,3.751948476E-2,-1.201534271E-2,5.200672150E-2
3.864818270E-1,-8.074209094E-3,-2.522337437E-2,1.758346558E-1
3.965220530E-1,3.953896463E-2,-4.647743702E-2,1.343135834E-1
4.065622800E-1,2.954715490E-2,-3.277301788E-2,1.285448074E-1
4.166025070E-1,-1.609236002E-3,-2.911341190E-2,2.694225311E-2
4.266427330E-1,4.449139535E-2,-8.124101162E-2,-9.720802307E-3
4.366829610E-1,-1.778192818E-2,-9.836995602E-2,1.136589050E-2
4.467537050E-1,4.134748876E-2,-1.230723858E-1,-1.271820068E-2
4.567939320E-1,-2.022281289E-2,-1.336983442E-1,7.371139526E-2
4.668341590E-1,3.111243248E-2,-1.071197987E-1,4.020500183E-2
4.768743860E-1,-3.125463426E-2,-8.095061779E-2,1.116008759E-1
4.869146120E-1,1.550978422E-2,-2.074956894E-2,2.225208282E-2
